account,token_id,actual_stake,boostType,boostRank,transferred_nft_types
0x50e4134d4e494c381bf5e6b28598310aa2c331b0,18021,22535.294639496253,Network_registry,community,[26 40]
0xb6d3f44d325c35e8434bf389efd9ee83b19ded54,18020,20062.25157092972,Network_registry,community,[35 26 36]
0x59512422af0709c7cab8285838975cd8d7c7ce7d,18019,3242.573619068033,Network_registry,community,[26 35]
0x5b9c3edc918ff1bf03c66f6912ce8b5fa0337fef,18015,3302.2545,Network_registry,community,[26]
0x0db7b02820b8826dadebe2b0a92ac279d95ccfdd,18014,3621.9557,Network_registry,community,[40 26 41]
0x3777c8a07368da99ff656858b7a4c73bb16c2059,18013,3270.6369,Network_registry,community,[26]
0x7c7565c70e3bc73912dbc85dc39b99cfee8bccce,18012,1000.51228144,Network_registry,community,[26]
0x00ed668a517ea10addc43fb90a935703d9634740,18010,3817.051,Network_registry,community,[26]
0x35e939c53b208ccec114c6b92f6d754b023dff4d,18009,19340.934729063734,Network_registry,community,[26 29]
0xfb832019df452f6c2fe081e79d8508acb8860c49,18008,3911.9663,Network_registry,community,[26]
0xe002692784bafbafe7cfaf6adb03b43850acc9ef,18007,9236.020882473567,Network_registry,community,[40 41 26]
0x77ea33c694c81ab3bd2097e4206e36321e17e1b8,18006,20353.76407833037,Network_registry,community,[26]
0x68bb5ac5c5d3f511a7b8f94f39f1f03a0bf8b60a,18005,3979.3298,Network_registry,community,[26]
0x1bc3b10b5a33bd650c04aa503b99dbe4fd76a71a,18004,3987.5783,Network_registry,community,[26]
0x3b5569a21010a908ea9acaccfa9a21db41292b43,18003,26456.969819590715,Network_registry,community,[26 40 40 29 32]
0xdf2c1baf5db34ddef5fd418ae0bcf6ba66992cdb,18001,1378.7509,Network_registry,community,[26]
0x50094bdb899e94ebc1e5a68c676e7b5921e8e2d0,18000,3841.1206,Network_registry,community,[40 26 37]
0xe99dc1864b1bea3efd8b87d5cec5b7b65ff23379,17998,28150.746334428444,Network_registry,community,[37 32 34 40 30 26 29]
0x557364ba5df09db866cb81578d14a91698296f7c,17997,12431.525978050937,Network_registry,community,[26]
0x299776620339ea8d5a4aaa2597fcf75481ada0af,17996,22139.7039,Network_registry,community,[26 41 34 40]
0xdc0b021c4bdf113140f969edcbeec11c442babf2,17995,3969.9598770526,Network_registry,community,[40 29 37 26 41]
0xcf13d0584d5e37e08a87a40f32d968ffb0f4a627,17994,4157.27782528392,Network_registry,community,[40 26 37 29 41]
0x5fc9bbd0478d413d3b126eddd54a32f01bd6c0eb,17993,11156.541654334756,Network_registry,community,[34 29 32 40 41 26]
0x154f4ab429f68c97c884c0f31b294430bf844f79,17991,4269.648194143765,Network_registry,community,[29 41 38 37 26 40]
0xdf632ea5ba8283488aae8538e17a2f802243a61a,17989,13675.099721939667,Network_registry,community,[41 37 40 26 29 34]
0xb8c4198868fb654bbd5dbb66b4a2dba265ebf7ce,17988,12076.1952,Network_registry,community,[32 26 38 41 40 37]
0x89432b273185bdf4aeaa8215434e0865c73b41b9,17987,41087.296985973546,Network_registry,community,[37 30 34 26 41 29 40 32]
0x82eee9d0de02248c490bd3d20d90613931b4c274,17986,4302.601672652,Network_registry,community,[37 40 37 41 38 34 26]
0xd3734d243891346a74c40ce8e59ff3f11bace587,17985,4847.6148204802475,Network_registry,community,[38 40 37 41 34 37 26]
0x5284554bb2ab75e7dac6d81abfb4666b1d485c49,17984,212151.5533,Network_registry,community,[37 29 34 36 40 26]
0x791575246a9c750913e59728cd39c1de9fe9fbab,17983,12057.874656696506,Network_registry,community,[40 34 41 38 33 37 37 26]
0xc6cda6a69ddc8200da1140546df8e830f5e7827e,17607,34350.65062293688,Network_registry,community,[42 26 41 40]
0xf772db956ffb322654b56839899c7f67125cf3f5,17605,4478.225502790129,Network_registry,community,[34 40 37 26 41]
0x93aecdbf7ef234d7a240974293a969e323c376c2,17604,3447.804022550988,Network_registry,community,[35 26]
0x5b45be5f76bc9eaf1ca4f9a9f9074442db2eba7c,17603,50952.02239490749,Network_registry,community,[26 37 34 36 35 40 32 29]
0xe963140020f05c01d1b19565597a659e03333a5d,17602,3993.354,Network_registry,community,[26]
0x235b0f497368f09df3b6db7f901c4cfc9e2c8d82,17601,4013.192723028388,Network_registry,community,[26]
0xb448b8ae08185de20d2777889f3e5989cb668157,17599,3588.9116,Network_registry,community,[26]
0x50b13b54c917171a03ceb8216f3990535fc18097,17597,4408.5265,Network_registry,community,[41 37 26]
0xb44e639dca7d7a0f0bce135599edaa9f1fbbbd6a,17595,28817.083925532737,Network_registry,community,[40 35 26 36]
