account,actual_stake,rewards_till_now,collected_rewards,rewards_to_collect_till_now,projected_rewards,projected_rewards_to_collect,daily_growth,now_utc,now_epoch,last_sync_time,last_sync_time_epoch,last_sync_reward,last_redeem_time,last_redeem_time_epoch,last_collect_time,last_collect_time_epoch,program_start_epoch,program_start,program_end_epoch,program_end,APR,total_boost,allstaked_rewards_without_boost,allstaked_rewards_with_boost,voting_power
0xde6f17794861e1e13104285cd2dabfc478bfb679,253676.9268,23077.31928663554,23077.31928663554,0,23077.31928663554,0,287.77300384430595,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 15:34:20.000 UTC,1.69038566e+09,23077.31928663554,2023-07-07 15:37:15.000 UTC,1.688744235e+09,2023-07-26 15:34:20.000 UTC,1.69038566e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,40.75,789.8257498318386,26187.34334983184,503.6635055272518
0x4326990033ecd87a5444383cf8c715e696301910,253550.4433,27168.4506140052,27168.4506140052,0,27168.4506140052,0,303.14787628724355,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 13:15:25.000 UTC,1.690377325e+09,27168.4506140052,2023-06-26 17:24:10.000 UTC,1.68780025e+09,2023-07-26 13:15:25.000 UTC,1.690377325e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,42.99,789.4319421391604,27586.45674213916,503.5379263769513
0xe0e03ba22e14776dc972a50e6cca5ceedb3b972c,253542.0667,11120.363989382255,11120.363989382255,0,11120.363989382255,0,126.84838968690048,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-27 01:09:25.000 UTC,1.690420165e+09,11120.363989382255,2023-06-26 14:22:40.000 UTC,1.68778936e+09,2023-07-27 01:09:25.000 UTC,1.690420165e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,17.25,789.4058615079437,11543.203461507943,503.5296085633892
0xbe5c1048002e7cfa5d06acd4f19c209347b6a0d5,253264.5661,18281.976536694212,18281.976536694212,0,18281.976536694212,0,205.59249517037185,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-27 00:26:55.000 UTC,1.690417615e+09,18281.976536694212,2023-06-26 14:21:55.000 UTC,1.687789315e+09,2023-07-27 00:26:55.000 UTC,1.690417615e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,28.749999999999996,788.5418605038374,18708.917060503834,503.25397772893956
0xd24c941f5edbe451395544658c0df6df056c6ad0,253249.0083,15800.024985607026,15800.024985607026,0,15800.024985607026,0,178.1815628695795,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 12:26:20.000 UTC,1.69037438e+09,15800.024985607026,2023-06-26 13:19:15.000 UTC,1.687785555e+09,2023-07-26 12:26:20.000 UTC,1.69037438e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,24.75,788.4934211317362,16214.522221131736,503.23852028635486
0x087222685448c978cf5e231b835909d1a3e6d7c3,253001.5002,14610.347602819485,14610.347602819485,0,14610.347602819485,0,167.89149452844288,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-31 06:40:30.000 UTC,1.69078563e+09,14610.347602819485,2023-07-05 15:40:15.000 UTC,1.688571615e+09,2023-07-31 06:40:30.000 UTC,1.69078563e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,23.25,787.7228020883022,15278.126002088302,502.9925448751701
0x263a13fbe5416661d8ff67c5d98624d1553900ae,252929.3938,6194.997147874159,6194.997147874159,0,6194.997147874159,0,70.30022745123073,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 12:48:20.000 UTC,1.6903757e+09,6194.997147874159,2023-05-24 10:21:05.000 UTC,1.684923665e+09,2023-07-26 12:47:10.000 UTC,1.69037563e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,9,787.4982980619953,6397.320698061996,502.9208623630561
0xe4efbf0cbd5222f0c8d822eff26bbe90f63b9eae,252865.81900000002,28231.110023827063,28231.110023827063,0,28231.110023827063,0,344.25085227759354,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 17:46:20.000 UTC,1.69039358e+09,28231.110023827063,2023-07-01 16:29:55.000 UTC,1.688228995e+09,2023-07-26 17:46:20.000 UTC,1.69039358e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,49,787.3003572610177,31326.827557261015,502.85765282035834
0xeebd9767331e9b007790c8796a7bbba5b96e0ecd,252457.3742,19044.764528231302,19044.764528231302,0,19044.764528231302,0,220.96567758382847,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-31 06:35:00.000 UTC,1.6907853e+09,19044.764528231302,2023-06-26 16:22:05.000 UTC,1.687796525e+09,2023-07-31 06:35:00.000 UTC,1.6907853e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,31,786.0286601283917,20107.876660128393,502.4513650095897
0x1ac5d648599b9767b1a1bd13eb8bf082b4c157c2,252359.53689999998,28358.030192579743,28358.030192579743,0,28358.030192579743,0,354.4719301393114,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-31 06:50:25.000 UTC,1.690786225e+09,28358.030192579743,2023-07-16 15:20:00.000 UTC,1.6895208e+09,2023-07-31 06:50:25.000 UTC,1.690786225e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,50.49,785.7240426773337,32256.945642677336,502.35399560469307
